source_pdf,doi,status,n_pages,n_materials,extraction_notes
1-s2.0-S0013468616305072-main.pdf,10.1016/j.electacta.2016.02.206,ok,8,5,[text-pass] Data extracted for synthesized electrodeposited AgxSbyTez thin films as well as literature comparison values for bulk AgSbTe2 compositions listed in Table 1. All compositions are undoped stoichiometric/non-stoichiometric Ag-Sb-Te materials. [figure-pass p1-3] No relevant thermoelectric property-vs-temperature plots or tables appear on the provided pages. [figure-pass p4-6] No relevant property-vs-temperature plots appear on these pages. The provided figures only present room-temperat
1-s2.0-S0167577X08002243-main.pdf,10.1016/j.matlet.2008.02.039,ok,3,8,"[text-pass] The paper discusses (AgSbTe2)1-x(Ag2Te)x alloys. While Seebeck coefficient, electrical resistivity, and power factor are plotted in figures (Fig 2, 3, 4), no specific numerical values are provided in the text or tables for these properties other than the resistivity of the x=0 sample at 2.0 GPa. [figure-pass p1-3] The paper reports room temperature thermoelectric properties as a function of synthetic pressure (2.0-4.5 GPa) for AgSbTe2-Ag2Te alloys. Values were visually estimated from"
1-s2.0-S092583880802029X-main.pdf,10.1016/j.jallcom.2008.11.054,ok,8,0,"[text-pass] The provided article focuses on the microstructural characterization (TEM, electron diffraction, and composition analysis) of stoichiometric AgSbTe2. It does not report any thermoelectric property measurements (Seebeck coefficient, electrical conductivity, thermal conductivity, power factor, or ZT) for the material. [figure-pass p1-5] The provided pages focus on the microstructural characterization (TEM, diffraction, phase diagram) of stoichiometric AgSbTe2. No thermoelectric propert"
1-s2.0-S0925838810006912-main.pdf,10.1016/j.jallcom.2010.03.170,ok,6,12,"[text-pass] The samples are AgxSb2-xTe3-x solid solutions where Ag2Te precipitates form in situ for x > 0.81. No specific dopant elements were added; the stoichiometry was varied to control the Ag2Te/Sb2Te3 ratio. [figure-pass p1-5] Data extracted from Table 1 for room temperature properties. Temperature-dependent data is available in Figures 3, 4, 5, 6, and 7, but values were not explicitly read off due to the high density of data points. [figure-pass p6-6] The provided page contains only a lis"
1-s2.0-S0925838819316007-main.pdf,10.1016/j.jallcom.2019.04.294,ok,7,4,"[text-pass] The article focuses on TlSbTe2-family compounds. AgSbTe2 is mentioned only as a reference material for comparison of thermoelectric properties. No AgSbTe2-family compounds were synthesized or doped in this study. [figure-pass p1-5] The provided document focuses on the thermoelectric properties of TlSbTe2 and its In- and Yb-doped variants. No AgSbTe2-family compounds (AgSbTe2, Ag1-xSbTe2, AgSb1-xMxTe2, etc.) are reported in the provided pages. Therefore, no relevant data could be extr"
1-s2.0-S092583882601529X-main.pdf,10.1016/j.jallcom.2026.187461,ok,8,8,"[text-pass] The paper investigates Te(1-x)(AgSbTe2)x where AgSbTe2 is treated as a co-dopant. XPS analysis indicates Sb substitutes for Te sites. Ag site is not explicitly confirmed, labeled as unclear. Properties were extracted from the body text. [figure-pass p1-5] Data extracted from figures 2 and 4. Only representative samples (x=0% and x=0.5%) were extracted for brevity as requested by the prompt's focus on distinct samples. Doped sites are marked as 'unclear' as the paper discusses AgSbTe2"
1-s2.0-S1359645411004757-main.pdf,10.1016/j.actamat.2011.07.010,ok,10,0,"[text-pass] The provided article focuses on the phase equilibria and crystal structure of the Ag-Sb-Te system. While it mentions that AgSbTe2 is a promising thermoelectric material, it does not report any experimental thermoelectric property data (such as Seebeck coefficient, electrical conductivity, thermal conductivity, power factor, or ZT) for any of the samples prepared. [figure-pass p1-5] The provided pages focus on the phase equilibria and microstructural characterization of the Ag-Sb-Te s"
1-s2.0-S1359645412005150-main.pdf,10.1016/j.actamat.2012.07.057,ok,8,12,"[figure-pass p1-5] The provided pages contain XRD and microstructure images, but do not contain the property-vs-temperature plots (Fig 5a, 5b, 5c mentioned in text are not present in the provided images). Therefore, no thermoelectric property values could be extracted. [figure-pass p6-8] Data extracted from Fig. 5. Resistivity is plotted in Fig 5b, which is the inverse of electrical conductivity. Values for 3 at.% Pb were estimated from the red curves in Fig 5a-d. Peak ZT for 5 at.% Pb and annea"
1-s2.0-S1359645421008223-main.pdf,10.1016/j.actamat.2021.117443,ok,12,9,"[text-pass] The paper investigates Ce-doped AgSbTe2 (AgSb0.998Ce0.002Te2) subjected to different heat treatments (HT523, HT573, HT673). Electrical conductivity values were derived from the reported resistivity values in Table 1 using sigma = 1/rho. [figure-pass p1-5] The provided pages contain information about Ce-doped AgSbTe2 (Ag0.998Ce0.002Te2) and its microstructure, but do not provide any plots or tables of thermoelectric properties (Seebeck coefficient, electrical conductivity, thermal con"
1-s2.0-S1359645422000684-main.pdf,10.1016/j.actamat.2022.117681,ok,9,8,"[text-pass] The paper focuses on SnSe-AgSbTe2 alloys and Pb-doped variants. Data for AgSbTe2-family compounds (as solid solutions) were extracted from the text. No tables were provided in the source text, so all values were extracted from the body text. [figure-pass p1-5] Data extracted from figures 4 and text descriptions. Sample compositions are based on the SnSe-AgSbTe2 alloy system. [figure-pass p6-9] The paper investigates (Sn1-xPbxSe)0.6(AgSbTe2)0.4 alloys. Pb acts as a dopant on the Sn si"
